pins,frequency,level
8070,113,moderate
8088,113,moderate
8210,113,moderate
8311,113,moderate
8472,113,moderate
8586,113,moderate
8588,113,moderate
8779,113,moderate
8951,113,moderate
9022,113,moderate
9494,113,moderate
9933,113,moderate
9942,113,moderate
9966,113,moderate
9990,113,moderate
6,112,moderate
15,112,moderate
17,112,moderate
64,112,moderate
88,112,moderate
134,112,moderate
189,112,moderate
250,112,moderate
690,112,moderate
800,112,moderate
878,112,moderate
879,112,moderate
982,112,moderate
1046,112,moderate
1048,112,moderate
1053,112,moderate
1065,112,moderate
1071,112,moderate
1072,112,moderate
1073,112,moderate
1157,112,moderate
1163,112,moderate
1265,112,moderate
1268,112,moderate
1275,112,moderate
1285,112,moderate
1335,112,moderate
1351,112,moderate
1364,112,moderate
1382,112,moderate
1386,112,moderate
1388,112,moderate
1399,112,moderate
1427,112,moderate
1528,112,moderate
1538,112,moderate
1569,112,moderate
1583,112,moderate
1592,112,moderate
1654,112,moderate
1720,112,moderate
1727,112,moderate
1774,112,moderate
1781,112,moderate
1823,112,moderate
1827,112,moderate
1931,112,moderate
2118,112,moderate
2140,112,moderate
2180,112,moderate
2269,112,moderate
2319,112,moderate
2330,112,moderate
2414,112,moderate
2416,112,moderate
2429,112,moderate
2431,112,moderate
2467,112,moderate
2477,112,moderate
2488,112,moderate
2523,112,moderate
2529,112,moderate
2607,112,moderate
2706,112,moderate
2909,112,moderate
3126,112,moderate
3158,112,moderate
3201,112,moderate
3217,112,moderate
3277,112,moderate
3357,112,moderate
3363,112,moderate
3578,112,moderate
3790,112,moderate
4150,112,moderate
4415,112,moderate
4582,112,moderate
4620,112,moderate
4815,112,moderate
5010,112,moderate
5168,112,moderate
5325,112,moderate
5410,112,moderate
5417,112,moderate
5523,112,moderate
6200,112,moderate
6225,112,moderate
7202,112,moderate
7277,112,moderate
7304,112,moderate
7610,112,moderate
7865,112,moderate
8010,112,moderate
8107,112,moderate
8504,112,moderate
8577,112,moderate
8642,112,moderate
8877,112,moderate
9001,112,moderate
9012,112,moderate
9711,112,moderate
9870,112,moderate
145,111,moderate
479,111,moderate
555,111,moderate
1063,111,moderate
1068,111,moderate
1094,111,moderate
1171,111,moderate
1179,111,moderate
1184,111,moderate
1186,111,moderate
1190,111,moderate
1251,111,moderate
1267,111,moderate
1272,111,moderate
1273,111,moderate
1274,111,moderate
1336,111,moderate
1338,111,moderate
1344,111,moderate
1348,111,moderate
1355,111,moderate
1365,111,moderate
1446,111,moderate
1513,111,moderate
1533,111,moderate
1534,111,moderate
1535,111,moderate
1537,111,moderate
1548,111,moderate
1550,111,moderate
1606,111,moderate
1607,111,moderate
1690,111,moderate
1726,111,moderate
1754,111,moderate
1825,111,moderate
1830,111,moderate
1840,111,moderate
1850,111,moderate
1890,111,moderate
2019,111,moderate
2142,111,moderate
2148,111,moderate
2164,111,moderate
2216,111,moderate
2219,111,moderate
2335,111,moderate
2346,111,moderate
2355,111,moderate
2448,111,moderate
2515,111,moderate
2587,111,moderate
2600,111,moderate
2628,111,moderate
2701,111,moderate
2723,111,moderate
2816,111,moderate
2855,111,moderate
2912,111,moderate
3009,111,moderate
3114,111,moderate
3142,111,moderate
3316,111,moderate
3326,111,moderate
3341,111,moderate
3410,111,moderate
3424,111,moderate
3443,111,moderate
3451,111,moderate
3534,111,moderate
3537,111,moderate
3727,111,moderate
4077,111,moderate
4125,111,moderate
4224,111,moderate
4258,111,moderate
4414,111,moderate
4454,111,moderate
4521,111,moderate
4546,111,moderate
4588,111,moderate
4589,111,moderate
4663,111,moderate
4666,111,moderate
4682,111,moderate
4790,111,moderate
5011,111,moderate
5121,111,moderate
5169,111,moderate
5193,111,moderate
5210,111,moderate
5254,111,moderate
5362,111,moderate
5433,111,moderate
5500,111,moderate
5503,111,moderate
6288,111,moderate
6542,111,moderate
6661,111,moderate
6900,111,moderate
7100,111,moderate
7210,111,moderate
7227,111,moderate
7256,111,moderate
7700,111,moderate
7744,111,moderate
7755,111,moderate
7769,111,moderate
7879,111,moderate
7882,111,moderate
8108,111,moderate
8264,111,moderate
8424,111,moderate
8998,111,moderate
9312,111,moderate
9512,111,moderate
9669,111,moderate
9801,111,moderate
9878,111,moderate
9899,111,moderate
9955,111,moderate
74,110,moderate
789,110,moderate
1043,110,moderate
1051,110,moderate
1075,110,moderate
1087,110,moderate
1142,110,moderate
1259,110,moderate
1262,110,moderate
1264,110,moderate
1283,110,moderate
1339,110,moderate
1370,110,moderate
1447,110,moderate
1454,110,moderate
1459,110,moderate
1544,110,moderate
1591,110,moderate
1593,110,moderate
1634,110,moderate
1678,110,moderate
1714,110,moderate
1723,110,moderate
1790,110,moderate
1829,110,moderate
1852,110,moderate
1883,110,moderate
1916,110,moderate
2027,110,moderate
2116,110,moderate
2220,110,moderate
2263,110,moderate
2274,110,moderate
2279,110,moderate
2286,110,moderate
2328,110,moderate
2340,110,moderate
2366,110,moderate
2391,110,moderate
2436,110,moderate
2516,110,moderate
2528,110,moderate
2541,110,moderate
2555,110,moderate
2563,110,moderate
2590,110,moderate
2601,110,moderate
2605,110,moderate
2608,110,moderate
2625,110,moderate
2809,110,moderate
2829,110,moderate
2907,110,moderate
2935,110,moderate
2987,110,moderate
3002,110,moderate
3033,110,moderate
3130,110,moderate
3144,110,moderate
3198,110,moderate
3203,110,moderate
3267,110,moderate
3299,110,moderate
3330,110,moderate
3337,110,moderate
3345,110,moderate
3367,110,moderate
3425,110,moderate
3500,110,moderate
3504,110,moderate
3553,110,moderate
3569,110,moderate
3637,110,moderate
3792,110,moderate
3947,110,moderate
4121,110,moderate
4402,110,moderate
4404,110,moderate
4448,110,moderate
4543,110,moderate
4587,110,moderate
5104,110,moderate
5155,110,moderate
5177,110,moderate
5211,110,moderate
5232,110,moderate
5236,110,moderate
5253,110,moderate
5404,110,moderate
5488,110,moderate
5575,110,moderate
5687,110,moderate
5885,110,moderate
6112,110,moderate
6636,110,moderate
6644,110,moderate
6660,110,moderate
6783,110,moderate
6869,110,moderate
7102,110,moderate
7491,110,moderate
7557,110,moderate
7718,110,moderate
7766,110,moderate
7897,110,moderate
7911,110,moderate
7987,110,moderate
7999,110,moderate
8272,110,moderate
8312,110,moderate
8521,110,moderate
8525,110,moderate
8824,110,moderate
8889,110,moderate
9014,110,moderate
9225,110,moderate
9394,110,moderate
9713,110,moderate
32,109,moderate
140,109,moderate
158,109,moderate
577,109,moderate
933,109,moderate
972,109,moderate
1181,109,moderate
1197,109,moderate
1295,109,moderate
1296,109,moderate
1341,109,moderate
1343,109,moderate
1353,109,moderate
1354,109,moderate
1374,109,moderate
1391,109,moderate
1394,109,moderate
1419,109,moderate
1448,109,moderate
1467,109,moderate
1489,109,moderate
1490,109,moderate
1519,109,moderate
1627,109,moderate
1733,109,moderate
1735,109,moderate
1815,109,moderate
1844,109,moderate
1875,109,moderate
1882,109,moderate
1889,109,moderate
2016,109,moderate
2017,109,moderate
2028,109,moderate
2052,109,moderate
2063,109,moderate
2177,109,moderate
2317,109,moderate
2343,109,moderate
2362,109,moderate
2385,109,moderate
2390,109,moderate
2427,109,moderate
2479,109,moderate
2481,109,moderate
2521,109,moderate
2719,109,moderate
2881,109,moderate
2930,109,moderate
3008,109,moderate
3090,109,moderate
3104,109,moderate
3135,109,moderate
3164,109,moderate
3206,109,moderate
3278,109,moderate
3280,109,moderate
3287,109,moderate
3314,109,moderate
3528,109,moderate
3536,109,moderate
3654,109,moderate
3981,109,moderate
4211,109,moderate
4213,109,moderate
4214,109,moderate
4332,109,moderate
4400,109,moderate
4417,109,moderate
4570,109,moderate
4575,109,moderate
4653,109,moderate
4656,109,moderate
4769,109,moderate
4774,109,moderate
4778,109,moderate
4866,109,moderate
5160,109,moderate
5213,109,moderate
5223,109,moderate
5270,109,moderate
5308,109,moderate
5366,109,moderate
5400,109,moderate
5477,109,moderate
5486,109,moderate
5556,109,moderate
5565,109,moderate
5625,109,moderate
5746,109,moderate
5825,109,moderate
5967,109,moderate
5978,109,moderate
6465,109,moderate
6544,109,moderate
6655,109,moderate
6786,109,moderate
7111,109,moderate
7198,109,moderate
7448,109,moderate
7577,109,moderate
7644,109,moderate
7667,109,moderate
7774,109,moderate
7904,109,moderate
7958,109,moderate
8001,109,moderate
8018,109,moderate
8252,109,moderate
8425,109,moderate
8649,109,moderate
8650,109,moderate
8669,109,moderate
8789,109,moderate
8848,109,moderate
8875,109,moderate
9513,109,moderate
9998,109,moderate
16,108,moderate
45,108,moderate
49,108,moderate
75,108,moderate
243,108,moderate
550,108,moderate
588,108,moderate
770,108,moderate
985,108,moderate
1054,108,moderate
1076,108,moderate
1086,108,moderate
1089,108,moderate
1161,108,moderate
1176,108,moderate
1270,108,moderate
1361,108,moderate
1366,108,moderate
1368,108,moderate
1371,108,moderate
1381,108,moderate
1387,108,moderate
1426,108,moderate
1455,108,moderate
1463,108,moderate
1468,108,moderate
1543,108,moderate
1562,108,moderate
1563,108,moderate
1568,108,moderate
1661,108,moderate
1684,108,moderate
1729,108,moderate
1744,108,moderate
1783,108,moderate
1893,108,moderate
1898,108,moderate
2099,108,moderate
2127,108,moderate
2128,108,moderate
2129,108,moderate
2138,108,moderate
2147,108,moderate
2154,108,moderate
2157,108,moderate
2192,108,moderate
2227,108,moderate
2240,108,moderate
2265,108,moderate
2320,108,moderate
2338,108,moderate
2354,108,moderate
2418,108,moderate
2420,108,moderate
2421,108,moderate
2432,108,moderate
2433,108,moderate
2470,108,moderate
2533,108,moderate
2534,108,moderate
2545,108,moderate
2546,108,moderate
2550,108,moderate
2576,108,moderate
2583,108,moderate
2613,108,moderate
2653,108,moderate
2666,108,moderate
2722,108,moderate
2733,108,moderate
2803,108,moderate
2805,108,moderate
2807,108,moderate
2864,108,moderate
2901,108,moderate
2904,108,moderate
3014,108,moderate
3119,108,moderate
3129,108,moderate
3169,108,moderate
3184,108,moderate
3220,108,moderate
3241,108,moderate
3246,108,moderate
3288,108,moderate
3294,108,moderate
3301,108,moderate
3474,108,moderate
3521,108,moderate
3600,108,moderate
3707,108,moderate
3711,108,moderate
3811,108,moderate
3849,108,moderate
4100,108,moderate
4112,108,moderate
4122,108,moderate
4210,108,moderate
4420,108,moderate
4425,108,moderate
4442,108,moderate
4484,108,moderate
4647,108,moderate
5020,108,moderate
5152,108,moderate
5154,108,moderate
5202,108,moderate
5222,108,moderate
5245,108,moderate
5248,108,moderate
5250,108,moderate
5251,108,moderate
5255,108,moderate
5257,108,moderate
5321,108,moderate
5445,108,moderate
5458,108,moderate
5494,108,moderate
5545,108,moderate
5546,108,moderate
5548,108,moderate
5600,108,moderate
5673,108,moderate
5693,108,moderate
5846,108,moderate
5957,108,moderate
6123,108,moderate
6525,108,moderate
6541,108,moderate
6665,108,moderate
6785,108,moderate
6797,108,moderate
6874,108,moderate
6895,108,moderate
6987,108,moderate
7004,108,moderate
7023,108,moderate
7150,108,moderate
7456,108,moderate
7704,108,moderate
7717,108,moderate
7733,108,moderate
7891,108,moderate
7898,108,moderate
8118,108,moderate
8153,108,moderate
8158,108,moderate
8186,108,moderate
8511,108,moderate
8884,108,moderate
8912,108,moderate
8919,108,moderate
9080,108,moderate
9393,108,moderate
9779,108,moderate
9889,108,moderate
9979,108,moderate
9995,108,moderate
19,107,moderate
229,107,moderate
1034,107,moderate
1044,107,moderate
1095,107,moderate
1099,107,moderate
1158,107,moderate
1170,107,moderate
1189,107,moderate
1281,107,moderate
1363,107,moderate
1390,107,moderate
1480,107,moderate
1484,107,moderate
1527,107,moderate
1536,107,moderate
1564,107,moderate
1619,107,moderate
1680,107,moderate
1724,107,moderate
1740,107,moderate
1835,107,moderate
1869,107,moderate
1880,107,moderate
1897,107,moderate
2018,107,moderate
2067,107,moderate
2170,107,moderate
2181,107,moderate
2251,107,moderate
2275,107,moderate
2276,107,moderate
2287,107,moderate
2298,107,moderate
2360,107,moderate
2377,107,moderate
2399,107,moderate
2419,107,moderate
2450,107,moderate
2458,107,moderate
2517,107,moderate
2518,107,moderate
2524,107,moderate
2548,107,moderate
2554,107,moderate
2568,107,moderate
2585,107,moderate
2602,107,moderate
2620,107,moderate
2624,107,moderate
2639,107,moderate
2663,107,moderate
2729,107,moderate
2868,107,moderate
2906,107,moderate
3005,107,moderate
3015,107,moderate
3115,107,moderate
3118,107,moderate
3168,107,moderate
3225,107,moderate
3237,107,moderate
3305,107,moderate
3356,107,moderate
3373,107,moderate
3436,107,moderate
3542,107,moderate
3652,107,moderate
4010,107,moderate
4021,107,moderate
4202,107,moderate
4234,107,moderate
4365,107,moderate
4381,107,moderate
4424,107,moderate
4460,107,moderate
4511,107,moderate
4532,107,moderate
4533,107,moderate
4742,107,moderate
4775,107,moderate
4789,107,moderate
5060,107,moderate
5120,107,moderate
5280,107,moderate
5306,107,moderate
5315,107,moderate
5464,107,moderate
5478,107,moderate
5512,107,moderate
5567,107,moderate
5621,107,moderate
5711,107,moderate
5789,107,moderate
5946,107,moderate
5960,107,moderate
6411,107,moderate
6449,107,moderate
6592,107,moderate
6653,107,moderate
6685,107,moderate
6712,107,moderate
6769,107,moderate
6978,107,moderate
7002,107,moderate
7110,107,moderate
7245,107,moderate
7475,107,moderate
7486,107,moderate
7511,107,moderate
7677,107,moderate
7714,107,moderate
7722,107,moderate
7829,107,moderate
7852,107,moderate
7873,107,moderate
7877,107,moderate
7931,107,moderate
8421,107,moderate
8461,107,moderate
8502,107,moderate
8814,107,moderate
8910,107,moderate
8988,107,moderate
9023,107,moderate
9200,107,moderate
9339,107,moderate
9485,107,moderate
9731,107,moderate
9865,107,moderate
9875,107,moderate
9987,107,moderate
41,106,moderate
42,106,moderate
76,106,moderate
89,106,moderate
138,106,moderate
144,106,moderate
153,106,moderate
157,106,moderate
345,106,moderate
431,106,moderate
1045,106,moderate
1078,106,moderate
1081,106,moderate
1082,106,moderate
1096,106,moderate
1160,106,moderate
1193,106,moderate
1282,106,moderate
1571,106,moderate
1613,106,moderate
1636,106,moderate
1637,106,moderate
1669,106,moderate
1670,106,moderate
1686,106,moderate
1885,106,moderate
1886,106,moderate
2033,106,moderate
2137,106,moderate
2160,106,moderate
2185,106,moderate
2188,106,moderate
2248,106,moderate
2285,106,moderate
2351,106,moderate
2375,106,moderate
2379,106,moderate
2452,106,moderate
2462,106,moderate
2465,106,moderate
2474,106,moderate
2535,106,moderate
2536,106,moderate
2565,106,moderate
2582,106,moderate
2615,106,moderate
2755,106,moderate
2767,106,moderate
2779,106,moderate
2813,106,moderate
2819,106,moderate
2834,106,moderate
2839,106,moderate
2888,106,moderate
2908,106,moderate
2972,106,moderate
2999,106,moderate
3024,106,moderate
3031,106,moderate
3145,106,moderate
3159,106,moderate
3227,106,moderate
3261,106,moderate
3281,106,moderate
3309,106,moderate
3328,106,moderate
3335,106,moderate
3336,106,moderate
3338,106,moderate
3426,106,moderate
3432,106,moderate
3478,106,moderate
3541,106,moderate
3547,106,moderate
3556,106,moderate
3666,106,moderate
3692,106,moderate
3710,106,moderate
3777,106,moderate
3824,106,moderate
4017,106,moderate
4024,106,moderate
4157,106,moderate
4160,106,moderate
4212,106,moderate
4245,106,moderate
4325,106,moderate
4356,106,moderate
4412,106,moderate
4601,106,moderate
4812,106,moderate
4817,106,moderate
4855,106,moderate
4869,106,moderate
5051,106,moderate
5335,106,moderate
5465,106,moderate
5528,106,moderate
5585,106,moderate
5599,106,moderate
5612,106,moderate
5628,106,moderate
5657,106,moderate
5698,106,moderate
5713,106,moderate
5715,106,moderate
6155,106,moderate
6316,106,moderate
6353,106,moderate
6486,106,moderate
6776,106,moderate
6778,106,moderate
6842,106,moderate
6886,106,moderate
6963,106,moderate
7101,106,moderate
7172,106,moderate
7211,106,moderate
7447,106,moderate
7500,106,moderate
7576,106,moderate
7611,106,moderate
7757,106,moderate
7861,106,moderate
7867,106,moderate
7959,106,moderate
8100,106,moderate
8126,106,moderate
8184,106,moderate
8310,106,moderate
8456,106,moderate
8489,106,moderate
8523,106,moderate
8678,106,moderate
8759,106,moderate
8800,106,moderate
8850,106,moderate
8864,106,moderate
8900,106,moderate
8901,106,moderate
9006,106,moderate
9117,106,moderate
9123,106,moderate
9677,106,moderate
9799,106,moderate
9813,106,moderate
9856,106,moderate
9871,106,moderate
9916,106,moderate
9977,106,moderate
9996,106,moderate
66,105,moderate
137,105,moderate
142,105,moderate
166,105,moderate
192,105,moderate
282,105,moderate
442,105,moderate
778,105,moderate
1060,105,moderate
1084,105,moderate
1091,105,moderate
1136,105,moderate
1146,105,moderate
1164,105,moderate
1165,105,moderate
1183,105,moderate
1194,105,moderate
1271,105,moderate
1362,105,moderate
1389,105,moderate
1461,105,moderate
1485,105,moderate
1487,105,moderate
1546,105,moderate
1547,105,moderate
1553,105,moderate
1560,105,moderate
1577,105,moderate
1586,105,moderate
1588,105,moderate
1594,105,moderate
1614,105,moderate
1615,105,moderate
1625,105,moderate
1644,105,moderate
1668,105,moderate
1692,105,moderate
1745,105,moderate
1750,105,moderate
1760,105,moderate
1770,105,moderate
1773,105,moderate
1787,105,moderate
1813,105,moderate
1826,105,moderate
1845,105,moderate
1848,105,moderate
2029,105,moderate
2031,105,moderate
2044,105,moderate
2055,105,moderate
2060,105,moderate
2085,105,moderate
2153,105,moderate
2239,105,moderate
2246,105,moderate
2250,105,moderate
2278,105,moderate
2282,105,moderate
2284,105,moderate
2299,105,moderate
2329,105,moderate
2347,105,moderate
2368,105,moderate
2439,105,moderate
2451,105,moderate
2457,105,moderate
2460,105,moderate
2475,105,moderate
2478,105,moderate
2530,105,moderate
2566,105,moderate
2614,105,moderate
2700,105,moderate
2789,105,moderate
2800,105,moderate
3109,105,moderate
3128,105,moderate
3161,105,moderate
3208,105,moderate
3209,105,moderate
3219,105,moderate
3222,105,moderate
3240,105,moderate
3258,105,moderate
3380,105,moderate
3406,105,moderate
3444,105,moderate
3467,105,moderate
3486,105,moderate
3513,105,moderate
3545,105,moderate
3585,105,moderate
3612,105,moderate
3613,105,moderate
3615,105,moderate
3625,105,moderate
3672,105,moderate
3818,105,moderate
3823,105,moderate
3894,105,moderate
3914,105,moderate
3918,105,moderate
4033,105,moderate
4041,105,moderate
4055,105,moderate
4126,105,moderate
4127,105,moderate
4128,105,moderate
4206,105,moderate
4235,105,moderate
4243,105,moderate
4256,105,moderate
4539,105,moderate
4548,105,moderate
4628,105,moderate
4649,105,moderate
4657,105,moderate
4722,105,moderate
4901,105,moderate
5024,105,moderate
5028,105,moderate
5116,105,moderate
5117,105,moderate
5133,105,moderate
5242,105,moderate
5310,105,moderate
5312,105,moderate
5504,105,moderate
5521,105,moderate
5535,105,moderate
5551,105,moderate
5554,105,moderate
5754,105,moderate
5808,105,moderate
5809,105,moderate
5841,105,moderate
5869,105,moderate
5966,105,moderate
6164,105,moderate
6275,105,moderate
6325,105,moderate
6369,105,moderate
6461,105,moderate
6554,105,moderate
6559,105,moderate
6633,105,moderate
6664,105,moderate
6713,105,moderate
7095,105,moderate
7260,105,moderate
7306,105,moderate
7321,105,moderate
7326,105,moderate
7337,105,moderate
7579,105,moderate
7604,105,moderate
7678,105,moderate
7824,105,moderate
7845,105,moderate
7902,105,moderate
7909,105,moderate
7989,105,moderate
8055,105,moderate
8133,105,moderate
8207,105,moderate
8318,105,moderate
8350,105,moderate
8477,105,moderate
8487,105,moderate
8811,105,moderate
8828,105,moderate
9125,105,moderate
9969,105,moderate
31,104,moderate
200,104,moderate
235,104,moderate
663,104,moderate
734,104,moderate
864,104,moderate
980,104,moderate
988,104,moderate
1049,104,moderate
1261,104,moderate
1287,104,moderate
1367,104,moderate
1398,104,moderate
1474,104,moderate
1481,104,moderate
1482,104,moderate
1573,104,moderate
1574,104,moderate
1587,104,moderate
1629,104,moderate
1631,104,moderate
1638,104,moderate
1648,104,moderate
1663,104,moderate
1736,104,moderate
1834,104,moderate
1838,104,moderate
1862,104,moderate
1864,104,moderate
2032,104,moderate
2034,104,moderate
2047,104,moderate
2088,104,moderate
2090,104,moderate
2155,104,moderate
2156,104,moderate
2199,104,moderate
2238,104,moderate
2262,104,moderate
2294,104,moderate
2348,104,moderate
2350,104,moderate
2443,104,moderate
2461,104,moderate
2532,104,moderate
2570,104,moderate
2621,104,moderate
2652,104,moderate
2667,104,moderate
2669,104,moderate
2686,104,moderate
2688,104,moderate
2702,104,moderate
2715,104,moderate
2718,104,moderate
2818,104,moderate
2856,104,moderate
3020,104,moderate
3116,104,moderate
3155,104,moderate
3182,104,moderate
3204,104,moderate
3242,104,moderate
3244,104,moderate
3251,104,moderate
3259,104,moderate
3286,104,moderate
3291,104,moderate
3306,104,moderate
3386,104,moderate
3415,104,moderate
3430,104,moderate
3445,104,moderate
3455,104,moderate
3462,104,moderate
3476,104,moderate
3510,104,moderate
3543,104,moderate
3594,104,moderate
3639,104,moderate
3810,104,moderate
3841,104,moderate
3911,104,moderate
4012,104,moderate
4013,104,moderate
4022,104,moderate
4050,104,moderate
4152,104,moderate
4221,104,moderate
4225,104,moderate
4313,104,moderate
4550,104,moderate
4586,104,moderate
4655,104,moderate
4710,104,moderate
4800,104,moderate
4879,104,moderate
4967,104,moderate
5052,104,moderate
5055,104,moderate
5111,104,moderate
5124,104,moderate
5230,104,moderate
5282,104,moderate
5330,104,moderate
5386,104,moderate
5411,104,moderate
5438,104,moderate
5463,104,moderate
5466,104,moderate
5514,104,moderate
5563,104,moderate
5564,104,moderate
5595,104,moderate
5735,104,moderate
5758,104,moderate
5791,104,moderate
5879,104,moderate
5969,104,moderate
6036,104,moderate
6109,104,moderate
6110,104,moderate
6111,104,moderate
6210,104,moderate
6211,104,moderate
6251,104,moderate
6280,104,moderate
6455,104,moderate
6500,104,moderate
6556,104,moderate
6566,104,moderate
6611,104,moderate
6656,104,moderate
6676,104,moderate
6697,104,moderate
6912,104,moderate
6970,104,moderate
6989,104,moderate
7022,104,moderate
7151,104,moderate
7177,104,moderate
7188,104,moderate
7418,104,moderate
7421,104,moderate
7512,104,moderate
7532,104,moderate
7612,104,moderate
7765,104,moderate
7770,104,moderate
7776,104,moderate
7780,104,moderate
7782,104,moderate
7860,104,moderate
7892,104,moderate
7982,104,moderate
8007,104,moderate
8180,104,moderate
8203,104,moderate
8228,104,moderate
8500,104,moderate
8512,104,moderate
8513,104,moderate
8612,104,moderate
8675,104,moderate
8721,104,moderate
8788,104,moderate
8812,104,moderate
8925,104,moderate
8972,104,moderate
8977,104,moderate
9010,104,moderate
9091,104,moderate
9100,104,moderate
9201,104,moderate
9815,104,moderate
9909,104,moderate
55,103,moderate
60,103,moderate
168,103,moderate
684,103,moderate
741,103,moderate
1291,103,moderate
1293,103,moderate
1554,103,moderate
1566,103,moderate
1585,103,moderate
1643,103,moderate
1675,103,moderate
1682,103,moderate
1715,103,moderate
1785,103,moderate
1816,103,moderate
1817,103,moderate
1841,103,moderate
1861,103,moderate
1874,103,moderate
1884,103,moderate
2139,103,moderate
2149,103,moderate
2162,103,moderate
2165,103,moderate
2174,103,moderate
2179,103,moderate
2253,103,moderate
2254,103,moderate
2256,103,moderate
2268,103,moderate
2349,103,moderate
2353,103,moderate
2380,103,moderate
2444,103,moderate
2454,103,moderate
2472,103,moderate
2483,103,moderate
2547,103,moderate
2578,103,moderate
2586,103,moderate
2665,103,moderate
2668,103,moderate
2773,103,moderate
2815,103,moderate
2820,103,moderate
2823,103,moderate
2825,103,moderate
2837,103,moderate
3017,103,moderate
3042,103,moderate
3102,103,moderate
3150,103,moderate
3199,103,moderate
3253,103,moderate
3327,103,moderate
3343,103,moderate
3414,103,moderate
3422,103,moderate
3423,103,moderate
3533,103,moderate
3791,103,moderate
3900,103,moderate
4042,103,moderate
4044,103,moderate
4102,103,moderate
4124,103,moderate
4133,103,moderate
4179,103,moderate
4185,103,moderate
4228,103,moderate
4248,103,moderate
4255,103,moderate
4311,103,moderate
4329,103,moderate
4334,103,moderate
4418,103,moderate
4446,103,moderate
4469,103,moderate
4497,103,moderate
4501,103,moderate
4516,103,moderate
4535,103,moderate
4544,103,moderate
4547,103,moderate
4591,103,moderate
4680,103,moderate
4861,103,moderate
4867,103,moderate
4932,103,moderate
4994,103,moderate
5021,103,moderate
5025,103,moderate
5126,103,moderate
5162,103,moderate
5165,103,moderate
5234,103,moderate
5291,103,moderate
5304,103,moderate
5337,103,moderate
5355,103,moderate
5377,103,moderate
5451,103,moderate
5510,103,moderate
5513,103,moderate
5543,103,moderate
5557,103,moderate
5586,103,moderate
5645,103,moderate
5777,103,moderate
6126,103,moderate
6206,103,moderate
6249,103,moderate
6266,103,moderate
6310,103,moderate
6399,103,moderate
6425,103,moderate
6548,103,moderate
6570,103,moderate
6663,103,moderate
6668,103,moderate
6687,103,moderate
6694,103,moderate
6801,103,moderate
6911,103,moderate
6954,103,moderate
6968,103,moderate
7018,103,moderate
7021,103,moderate
7332,103,moderate
7374,103,moderate
7377,103,moderate
7415,103,moderate
7466,103,moderate
7478,103,moderate
7602,103,moderate
7603,103,moderate
7726,103,moderate
7747,103,moderate
7759,103,moderate
7880,103,moderate
7946,103,moderate
7980,103,moderate
8002,103,moderate
8104,103,moderate
8119,103,moderate
8123,103,moderate
8258,103,moderate
8384,103,moderate
8572,103,moderate
8668,103,moderate
8711,103,moderate
8723,103,moderate
8822,103,moderate
8855,103,moderate
8890,103,moderate
8892,103,moderate
8991,103,moderate
9852,103,moderate
9919,103,moderate
35,102,moderate
44,102,moderate
73,102,moderate
179,102,moderate
191,102,moderate
343,102,moderate
346,102,moderate
385,102,moderate
535,102,moderate
571,102,moderate
1059,102,moderate
1195,102,moderate
1292,102,moderate
1360,102,moderate
1383,102,moderate
1384,102,moderate
1445,102,moderate
1561,102,moderate
1565,102,moderate
1572,102,moderate
1635,102,moderate
1641,102,moderate
1671,102,moderate
1674,102,moderate
1677,102,moderate
1679,102,moderate
1691,102,moderate
1716,102,moderate
1731,102,moderate
1734,102,moderate
1747,102,moderate
1786,102,moderate
1842,102,moderate
1865,102,moderate
1871,102,moderate
2035,102,moderate
2057,102,moderate
2064,102,moderate
2065,102,moderate
2146,102,moderate
2151,102,moderate
2161,102,moderate
2168,102,moderate
2175,102,moderate
2178,102,moderate
2247,102,moderate
2374,102,moderate
2485,102,moderate
2497,102,moderate
2543,102,moderate
2567,102,moderate
2577,102,moderate
2617,102,moderate
2648,102,moderate
2657,102,moderate
2713,102,moderate
2814,102,moderate
2817,102,moderate
2833,102,moderate
2873,102,moderate
2900,102,moderate
2902,102,moderate
3040,102,moderate
3152,102,moderate
3163,102,moderate
3180,102,moderate
3218,102,moderate
3243,102,moderate
3247,102,moderate
3255,102,moderate
3265,102,moderate
3317,102,moderate
3352,102,moderate
3358,102,moderate
3379,102,moderate
3400,102,moderate
3420,102,moderate
3453,102,moderate
3505,102,moderate
3546,102,moderate
3588,102,moderate
3611,102,moderate
3614,102,moderate
3703,102,moderate
3750,102,moderate
3814,102,moderate
3925,102,moderate
3942,102,moderate
3945,102,moderate
3971,102,moderate
4015,102,moderate
4078,102,moderate
4110,102,moderate
4113,102,moderate
4115,102,moderate
4176,102,moderate
4320,102,moderate
4322,102,moderate
4344,102,moderate
4383,102,moderate
4386,102,moderate
4440,102,moderate
4513,102,moderate
4536,102,moderate
4540,102,moderate
4611,102,moderate
4725,102,moderate
5007,102,moderate
5022,102,moderate
5100,102,moderate
5110,102,moderate
5156,102,moderate
5157,102,moderate
5235,102,moderate
5262,102,moderate
5268,102,moderate
5284,102,moderate
5348,102,moderate
5413,102,moderate
5415,102,moderate
5440,102,moderate
5461,102,moderate
5507,102,moderate
5578,102,moderate
5579,102,moderate
5603,102,moderate
5624,102,moderate
5635,102,moderate
5639,102,moderate
5669,102,moderate
5775,102,moderate
5781,102,moderate
5800,102,moderate
5852,102,moderate
6006,102,moderate
6120,102,moderate
6154,102,moderate
6165,102,moderate
